track_number,stem_name,display_name,url,video_id,duration,source_type,start_offset,notes
0,full_song,Full Song Reference,https://www.youtube.com/watch?v=b1U6HReJeqo,b1U6HReJeqo,3:00,official_audio,0.000000,Master full stereo mix reference track
1,drums,Drums,https://www.youtube.com/watch?v=8cFR-S6-HG8,8cFR-S6-HG8,03:01,isolated_tracks_video,0.000000,Sliced from Unheard Isolations  (00:00 - 03:01)
2,bass,Bass,https://www.youtube.com/watch?v=8cFR-S6-HG8,8cFR-S6-HG8,03:07,isolated_tracks_video,0.000000,Sliced from Unheard Isolations  (03:01 - 06:08)
3,fender-rhodes,Fender Rhodes,https://www.youtube.com/watch?v=8cFR-S6-HG8,8cFR-S6-HG8,02:55,isolated_tracks_video,0.000000,Sliced from Unheard Isolations  (06:08 - 09:03)
4,horns,Horns,https://www.youtube.com/watch?v=8cFR-S6-HG8,8cFR-S6-HG8,01:24,isolated_tracks_video,0.000000,Sliced from Unheard Isolations  (09:03 - 10:27)
5,vocals,Vocals,https://www.youtube.com/watch?v=8cFR-S6-HG8,8cFR-S6-HG8,02:43,isolated_tracks_video,0.000000,Sliced from Unheard Isolations  (10:27 - 13:10)
